City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,50.52,89,75,4.0,CA,1696373852
1,adamstown,-25.066,-130.1015,68.72,75,81,18.7,PN,1696374069
2,myitkyina,25.3833,97.4,73.99,100,68,0.94,MM,1696373879
3,papatowai,-46.5619,169.4708,62.92,41,99,12.24,NZ,1696373773
4,juan griego,11.0817,-63.9655,83.79,79,100,9.13,VE,1696374070
5,edinburgh of the seven seas,-37.0676,-12.3116,50.52,66,92,14.09,SH,1696374070
6,palmas,-10.2128,-48.3603,82.27,74,40,2.3,BR,1696373852
7,ushuaia,-54.8,-68.3,47.86,53,75,11.5,AR,1696373891
8,san antonio de pale,-1.4014,5.6325,77.76,81,100,7.05,GQ,1696374070
9,anadyr,64.75,177.4833,36.1,64,20,13.42,RU,1696374071
10,usman',52.0466,39.7288,50.09,55,27,4.0,RU,1696374071
11,port-aux-francais,-49.35,70.2167,39.97,93,100,46.93,TF,1696374071
12,gangtok,27.3333,88.6167,62.74,96,100,0.87,IN,1696374071
13,birjand,32.8663,59.2211,57.67,30,0,4.61,IR,1696374071
14,haiku-pauwela,20.9219,-156.3051,76.51,74,20,8.61,US,1696374072
15,mahonda,-6.45,39.4667,77.77,83,67,15.17,TZ,1696374072
16,tsarevo,42.1667,27.85,57.92,76,9,3.29,BG,1696374072
17,santa ana,33.7456,-117.8678,90.41,51,0,9.22,US,1696374072
18,yuzhno-kurilsk,44.0306,145.8556,57.31,74,100,2.06,RU,1696374072
19,manapparai,10.6,78.4167,79.66,86,68,2.46,IN,1696374072
20,cabo san lucas,22.8909,-109.9124,92.61,73,52,8.88,MX,1696373953
21,nolinsk,57.5596,49.9363,45.55,85,92,7.11,RU,1696374073
22,avarua,-21.2078,-159.775,75.25,73,75,18.41,CK,1696374073
23,katsuura,35.1333,140.3,70.99,73,100,8.7,JP,1696374073
24,whitehorse,60.7161,-135.0538,38.17,81,75,9.22,CA,1696373913
25,port lincoln,-34.7333,135.8667,53.96,55,51,17.85,AU,1696374074
26,stanley,54.868,-1.6985,50.77,85,20,10.36,GB,1696373812
27,college,64.8569,-147.8028,34.07,90,100,4.61,US,1696373784
28,hikari,33.955,131.95,64.38,67,20,3.44,JP,1696374074
29,longyearbyen,78.2186,15.6401,28.24,69,75,17.27,SJ,1696374074
30,kerikeri,-35.2268,173.9474,62.91,62,1,1.01,NZ,1696374074
31,lingyuan,41.24,119.4011,51.01,55,1,4.9,CN,1696374075
32,eldersburg,39.4037,-76.9503,77.65,73,3,3.56,US,1696373786
33,keflavik,64.0049,-22.5624,43.23,75,20,4.61,IS,1696374075
34,namtsy,62.7161,129.6658,32.05,83,100,6.35,RU,1696374075
35,bilibino,68.0546,166.4372,10.76,93,77,2.91,RU,1696373823
36,solwezi,-12.1688,26.3894,66.94,47,99,5.73,ZM,1696374075
37,choyr,46.3611,108.3611,35.44,61,0,5.99,MN,1696374076
38,bethel,41.3712,-73.414,74.62,82,2,2.39,US,1696373904
39,hithadhoo,-0.6,73.0833,81.59,80,66,12.08,MV,1696374076
40,prince rupert,54.3161,-130.3201,53.69,96,100,28.77,CA,1696374076
41,holualoa,19.6228,-155.9522,81.55,71,33,5.01,US,1696374076
42,wailua homesteads,22.0669,-159.378,84.13,67,9,7.0,US,1696374077
43,waitangi,-43.9535,-176.5597,51.82,74,92,8.01,NZ,1696374077
44,snina,48.9886,22.151,55.35,79,44,4.97,SK,1696374077
45,bayganin,48.6947,55.8742,57.94,61,100,6.49,KZ,1696374077
46,tripoli,32.8752,13.1875,74.82,66,0,9.64,LY,1696374077
47,nova vicosa,-17.8919,-39.3719,75.7,84,98,17.29,BR,1696374078
48,robbah,33.2797,6.9098,71.24,49,0,10.38,DZ,1696374078
49,kosigi,15.85,77.2667,79.11,69,98,2.44,IN,1696374078
50,grytviken,-54.2811,-36.5092,33.55,75,100,3.74,GS,1696374078
51,port elizabeth,-33.918,25.5701,64.09,87,75,5.99,ZA,1696373778
52,the pas,53.8251,-101.2541,50.02,81,100,11.5,CA,1696374078
53,ust-tsilma,65.441,52.1498,38.61,81,100,10.0,RU,1696374079
54,olonkinbyen,70.9221,-8.7187,33.06,60,100,13.06,SJ,1696374079
55,punta arenas,-53.15,-70.9167,46.51,66,20,10.36,CL,1696374079
56,pacific grove,36.6177,-121.9166,78.24,83,3,5.99,US,1696374079
57,ancud,-41.8697,-73.8203,47.26,83,27,4.32,CL,1696374079
58,ilulissat,69.2167,-51.1,28.42,59,17,0.0,GL,1696374080
59,margaret river,-33.95,115.0667,56.16,69,96,3.6,AU,1696374080
60,puerto natales,-51.7236,-72.4875,41.86,88,34,6.73,CL,1696374080
61,babu,24.4167,111.5167,75.24,93,46,4.07,CN,1696374080
62,hamilton,39.1834,-84.5333,85.44,51,0,6.91,US,1696373784
63,dolinsk,47.35,142.8,53.98,74,14,4.09,RU,1696374081
64,albany,42.6001,-73.9662,73.81,84,0,4.05,US,1696374081
65,ust'-ilimsk,58.0006,102.6619,42.44,91,100,10.0,RU,1696374081
66,port macquarie,-31.4333,152.9167,76.89,57,2,20.92,AU,1696374081
67,bredasdorp,-34.5322,20.0403,56.97,97,93,5.93,ZA,1696374081
68,sur,22.5667,59.5289,86.52,42,2,6.29,OM,1696373804
69,talnakh,69.4865,88.3972,33.21,95,100,14.63,RU,1696374082
70,san patricio,28.017,-97.5169,93.18,63,66,11.5,US,1696374082
71,bonthe,7.5264,-12.505,78.06,88,99,5.93,SL,1696374082
72,howrah,22.5892,88.3103,78.8,94,100,6.91,IN,1696374082
73,wladyslawowo,54.7909,18.4009,58.55,74,100,27.0,PL,1696374082
74,shitanjing,39.2342,106.3439,55.0,35,98,4.97,CN,1696374083
75,harper,4.375,-7.7169,76.46,81,31,7.09,LR,1696373802
76,macapa,0.0389,-51.0664,87.78,62,20,11.5,BR,1696374079
77,utrik,11.2278,169.8474,83.25,76,55,18.16,MH,1696374083
78,invercargill,-46.4,168.35,64.02,53,93,11.01,NZ,1696374084
79,udachny,66.4167,112.4,25.45,85,100,16.64,RU,1696374084
80,zeya,53.75,127.2667,44.89,92,100,1.99,RU,1696374085
81,port mathurin,-19.6833,63.4167,73.47,79,1,5.93,MU,1696374086
82,iqaluit,63.7506,-68.5145,33.53,93,75,16.11,CA,1696374086
83,talara,-4.5772,-81.2719,75.96,69,0,18.95,PE,1696374086
84,long beach,33.767,-118.1892,88.83,68,0,12.66,US,1696373831
85,puerto ayora,-0.7393,-90.3518,84.16,93,70,1.99,EC,1696374086
86,kolonia,50.9333,6.95,57.88,79,0,6.91,DE,1696374006
87,tazovsky,67.4667,78.7,32.29,86,14,13.82,RU,1696374087
88,tiksi,71.6872,128.8694,26.26,96,100,5.64,RU,1696374087
89,ribeira grande,38.5167,-28.7,71.78,91,91,13.0,PT,1696374087
90,camocim,-2.9022,-40.8411,78.96,75,43,18.25,BR,1696374087
91,zouerate,22.7187,-12.4521,92.26,15,23,9.84,MR,1696373919
92,kingston,17.997,-76.7936,88.75,81,75,9.22,JM,1696374026
93,tomatlan,19.9333,-105.25,86.05,76,100,5.26,MX,1696374088
94,pisco,-13.7,-76.2167,68.05,77,0,19.57,PE,1696374059
95,forio,40.7342,13.8646,71.53,72,90,9.35,IT,1696373797
96,qaqortoq,60.7167,-46.0333,36.55,92,99,1.59,GL,1696374088
97,sochaczew,52.2294,20.2384,60.26,88,100,19.57,PL,1696374088
98,codrington,-38.2667,141.9667,53.49,69,61,4.21,AU,1696374088
99,afaahiti,-17.75,-149.2833,82.27,84,16,18.79,PF,1696374089
100,kone,-21.0595,164.8658,76.06,64,79,9.98,NC,1696373798
101,necochea,-38.5473,-58.7368,49.32,91,100,7.18,AR,1696374089
102,inyati,-19.6756,28.8469,57.45,47,10,7.27,ZW,1696374089
103,dudinka,69.4058,86.1778,33.62,86,33,18.99,RU,1696374089
104,delta del tigre,-34.7633,-56.3853,59.41,88,75,11.5,UY,1696374090
105,dali,25.7,100.1833,61.56,95,63,4.41,CN,1696374090
106,labrador city,52.9463,-66.9114,42.71,61,40,5.75,CA,1696374008
107,tanout,14.9709,8.8879,87.62,31,96,8.79,NE,1696374090
108,igarka,67.4667,86.5833,30.07,90,8,13.85,RU,1696373824
109,isafjordur,66.0755,-23.124,40.71,85,100,25.41,IS,1696374033
110,st. john's,47.5649,-52.7093,58.96,81,100,10.36,CA,1696374091
111,mitu,1.1983,-70.1733,84.45,52,97,2.44,CO,1696374091
112,paita,-5.0892,-81.1144,69.19,78,71,17.87,PE,1696374091
113,desaguadero,-16.5656,-69.0417,57.6,47,50,9.51,PE,1696374092
114,atafu village,-8.5421,-172.5159,84.54,75,65,17.43,TK,1696374092
115,motueka,-41.1333,173.0167,60.1,43,13,2.48,NZ,1696374092
116,cortez,37.3489,-108.5859,63.03,43,83,10.02,US,1696374092
117,constantia,44.1833,28.65,52.7,67,3,8.08,RO,1696373801
118,taoudenni,22.6783,-3.9836,90.72,17,1,15.39,ML,1696374093
119,palmer,42.1584,-72.3287,75.81,76,0,1.95,US,1696373797
120,lahaina,20.8783,-156.6825,85.24,71,6,5.77,US,1696374064
121,lebu,-37.6167,-73.65,49.44,73,7,9.8,CL,1696374093
122,flying fish cove,-10.4217,105.6791,74.88,83,100,10.36,CX,1696374093
123,namdrik,5.5994,168.1028,84.34,71,42,7.14,MH,1696374094
